pair	Nc	cholconc	deg	E0	S0
DPPC_CHL1	0	10	1.3001843309264371	-32.961656343014226	0.7864983626524729
DPPC_CHL1	1	10	1.4254270927543933	-30.43836007764094	0.7321291423427986
DPPC_CHL1	2	10	1.162556236580794	-28.367183137559287	0.797346293374998
DPPC_CHL1	3	10	1.3999498911791923	-26.90591690209797	0.8016571779822536
DPPC_CHL1	4	10	1.8402476601443325	-26.145405526537026	0.8040654894889504
DPPC_CHL1	0	20	1.2104586753855278	-34.16289699637264	0.8015034812730596
DPPC_CHL1	1	20	1.4201657849762717	-31.95003040652044	0.7469858015529757
DPPC_CHL1	2	20	1.4532308257667386	-29.894418246485863	0.7529462715453211
DPPC_CHL1	3	20	1.3923986527539487	-27.70235738706128	0.756977432344012
DPPC_CHL1	4	20	1.6463683453577225	-25.6221899051367	0.7613793423645616
DPPC_CHL1	0	30	1.371057726429131	-37.08620597141724	0.7584277105766267
DPPC_CHL1	1	30	1.4459858418152987	-34.58141612872668	0.7637772332443813
DPPC_CHL1	2	30	1.5016044965588407	-31.949435414438515	0.7674685296250994
DPPC_CHL1	3	30	1.4302732118064647	-29.329616421023285	0.7706605567634803
DPPC_CHL1	4	30	1.2943486066314358	-26.458611253057704	0.7165193852015478
DUPC_CHL1	0	10	1.6592956113540482	-36.48332154438533	0.7539372160118417
DUPC_CHL1	1	10	1.6255609301197513	-34.13691226888765	0.7641800265641312
DUPC_CHL1	2	10	1.829101362966637	-33.68025196550303	0.7699158189596492
DUPC_CHL1	3	10	2.41113478076821	-30.4277779459905	0.7228854333900939
DUPC_CHL1	4	10	2.5	-26.6016051924484	0.6740667747083389
DUPC_CHL1	0	20	1.8351508090497908	-36.88202490882888	0.7045381239294505
DUPC_CHL1	1	20	1.849968451309677	-37.04080880250568	0.7655056775323897
DUPC_CHL1	2	20	1.7214312438376487	-33.53746060199595	0.7802275214193648
DUPC_CHL1	3	20	1.8058346303835764	-32.26171787731271	0.7888470023551903
DUPC_CHL1	4	20	2.0013360886682263	-30.682267687117548	0.7978369011294643
DUPC_CHL1	0	30	1.710711742203844	-40.39476812494001	0.778051845842925
DUPC_CHL1	1	30	1.8493584415772395	-38.77303146318181	0.7800670271232278
DUPC_CHL1	2	30	1.8207968661007605	-35.63156841045863	0.7883172991722512
DUPC_CHL1	3	30	1.8869750737163893	-34.67000257510303	0.794556129432
DUPC_CHL1	4	30	2.084188379805918	-33.07309185079957	0.8012305573348569
