pair	cholconc	growth	Egain	Emax
DPPC_DPPC	0	5.476702727885544	-87.76864755535047	-61.07188854988569
DPPC_DPPC	10	6.105060361265159	-79.13942944601821	-61.062853420698936
DPPC_DPPC	20	7.498934779221851	-78.24660783417067	-61.2228001144006
DPPC_DPPC	30	7.734146452826137	-60.0	-60.89788822688511
DUPC_DUPC	0	5.58715917102421	-110.0	-63.227494051232775
DUPC_DUPC	10	6.535853953069288	-110.0	-62.67896466021252
DUPC_DUPC	20	7.388235982179707	-100.59823395683952	-62.14022502184349
DUPC_DUPC	30	8.0	-60.0	-61.620111094324706
DUPC_DPPC	0	5.994457857194313	-110.0	-61.60116453937644
DUPC_DPPC	10	6.5548159786451405	-110.0	-61.076446462756365
DUPC_DPPC	20	7.364262463337235	-60.0	-60.70165400785327
DUPC_DPPC	30	8.0	-60.0	-59.853546701341536
