pair	Ncs	cholconc	growth	Egain	Emax
DPPC_DPPC	0	0	5.345599265018335	-85.0	-61.07188854988569
DPPC_DPPC	0	10	5.3637074233654305	-85.0	-62.40778189093129
DPPC_DPPC	1	10	5.335541979572161	-69.92534789853947	-60.09146395085197
DPPC_DPPC	2	10	5.805915944529126	-77.8483758976219	-59.63527904814678
DPPC_DPPC	3	10	6.277988890058929	-85.0	-57.62922553212946
DPPC_DPPC	4	10	5.975328115011465	-67.42715822987216	-56.99317410968973
DPPC_DPPC	0	20	5.790501538634642	-85.0	-64.01505834779739
DPPC_DPPC	1	20	5.393937264119401	-67.4358838152162	-61.86703864595867
DPPC_DPPC	2	20	5.7349668544035595	-65.9548850237023	-61.03554068789999
DPPC_DPPC	3	20	5.702660807880531	-68.58109830851964	-58.3681465725546
DPPC_DPPC	4	20	5.780952250284144	-65.6944839812969	-56.91414595007584
DPPC_DPPC	0	30	5.332165435142821	-65.0	-66.09499817226441
DPPC_DPPC	1	30	7.0	-65.0	-65.01171871645472
DPPC_DPPC	2	30	6.258647158222769	-65.0	-62.434761109314856
DPPC_DPPC	3	30	6.6854911266546475	-65.0	-60.512838256119615
DPPC_DPPC	4	30	6.283516183045176	-65.0	-57.69516452429047
DUPC_DUPC	0	0	5.402774616536222	-85.0	-62.90174612466989
DUPC_DUPC	0	10	5.6181609069251355	-85.0	-63.831301989831815
DUPC_DUPC	1	10	5.368412508759256	-85.0	-61.725010437349546
DUPC_DUPC	2	10	5.800547725315303	-85.0	-60.63355412803592
DUPC_DUPC	3	10	5.662715398086682	-85.0	-58.661855888517145
DUPC_DUPC	4	10	7.0	-65.0	-57.11704044648341
DUPC_DUPC	0	20	6.027405089738393	-85.0	-64.93512778549399
DUPC_DUPC	1	20	5.795394172590637	-85.0	-62.7854226347059
DUPC_DUPC	2	20	5.640535090336209	-85.0	-61.50148215605109
DUPC_DUPC	3	20	5.7740607076476484	-85.0	-59.92021103094013
DUPC_DUPC	4	20	5.489907394697888	-85.0	-58.093423525713284
DUPC_DUPC	0	30	5.7866315091928655	-85.0	-65.96354682556534
DUPC_DUPC	1	30	5.981620314584539	-85.0	-63.83402499000825
DUPC_DUPC	2	30	5.0	-85.0	-62.58699961408784
DUPC_DUPC	3	30	5.638613489255952	-85.0	-60.703619685456765
DUPC_DUPC	4	30	6.197600121072593	-75.7219067693659	-59.38440372166672
