PL	cholconc	Nc	growth	transitionT	deltaN	Nmax
DPPC	10	0	0.26286638233030973	321.23152443573485	-1.2631785583972235	6.171177023160943
DPPC	10	1	0.2650006124603622	321.37684185318847	-1.358610785399173	6.144722105532876
DPPC	10	2	0.23618031870836778	320.95898831918447	-1.512693882233484	6.1576669349292565
DPPC	10	3	0.22138326338341774	321.45579717602124	-1.5811920877312966	6.1702878892505995
DPPC	10	4	0.5201121634575662	315.7433908882704	-2.6316877566877563	6.875
DPPC	20	0	0.279420884957051	323.5622172239552	-1.2123337139100219	6.149307668194549
DPPC	20	1	0.2848108023841632	323.4614496375261	-1.3391102930661072	6.132031203205369
DPPC	20	2	0.2632957680847098	323.22226054097797	-1.431194943529606	6.09118413190892
DPPC	20	3	0.26322941684422435	323.3131242555826	-1.5233708107172301	6.0063999161659885
DPPC	20	4	0.23159639245144456	322.96436681509624	-1.4812685885334167	5.836996032158986
DPPC	30	0	0.1723019450120548	322.4615003290521	-0.7770734121559455	5.6681356879464415
DPPC	30	1	0.2091986733724016	324.34242726076906	-0.8360997304987494	5.578390126340132
DPPC	30	2	0.19786942719545864	323.8114890038101	-0.9369939656346853	5.52249235654648
DPPC	30	3	0.20068088567620987	323.47604672706893	-1.0800981752359267	5.502644766060719
DPPC	30	4	0.1889413290417664	321.85082584704935	-1.1966390514365122	5.447813678042105
