PL	cholconc	Nc	growth	transitionT	deltaN	Nmax
DPPC	0	0	1.8260854140975065	319.63407882656804	-1.3487677131841176	5.491674928646538
DPPC	10	0	0.28442221373167886	321.3018479113843	-1.1656057221717653	5.368036880108366
DPPC	10	1	0.2669108054722422	321.4547659001515	-1.2412999082928575	5.336798152101398
DPPC	10	2	0.269001345538247	321.2073712366093	-1.3858149876924548	5.359860760729192
DPPC	10	3	0.22882711298602698	320.87700705735847	-1.5143838789717359	5.3580677883819545
DPPC	10	4	0.29704445503496985	324.4587361200786	-1.2341554686533902	5.00028752761317
DPPC	20	0	0.25679510115746684	324.0478762880865	-1.046036898442689	5.29864598362317
DPPC	20	1	0.28882041884126536	324.2842194308451	-1.155530326754457	5.291045158728617
DPPC	20	2	0.28664779185612405	323.9102671158312	-1.2845977425568815	5.2916826656954115
DPPC	20	3	0.2828101614730355	323.715223040918	-1.3888048522693892	5.241010005432148
DPPC	20	4	0.27016244921668536	323.4582319860251	-1.4834873657631906	5.1776041414015666
DPPC	30	0	0.23878868780288962	327.32468028677596	-0.5480402633873318	4.761162617425909
DPPC	30	1	0.20656599746124257	325.2044324952554	-0.7067789701003626	4.7997588106290445
DPPC	30	2	0.21170916783554947	324.5856119957139	-0.8204439109288808	4.772560382957475
DPPC	30	3	0.20710555932450864	324.246010440355	-0.9129374067718778	4.700000228466019
DPPC	30	4	0.19898644041528224	323.6048960815357	-1.0334072450048883	4.643589728343115
