PL	cholconc	Nc	a	b
DUPC	10	0	6.380169972613336	-0.006504015670675491
DUPC	10	1	6.191307287280158	-0.006244334905148628
DUPC	10	2	6.023217470971802	-0.006163443775914513
DUPC	10	3	5.688301398563751	-0.005732889536537225
DUPC	10	4	4.953838034411138	-0.0041862507153207894
DUPC	20	0	6.268786323594377	-0.00639096545492073
DUPC	20	1	6.1918168468870975	-0.006529333337874934
DUPC	20	2	6.056767717669358	-0.006569569358222994
DUPC	20	3	5.800383477246082	-0.006295879575236524
DUPC	20	4	5.940106793989947	-0.0073496429934501815
DUPC	30	0	6.442493028279969	-0.0072342479510340745
DUPC	30	1	6.250427527615707	-0.007028349325221754
DUPC	30	2	6.110723863916456	-0.007076284741379938
DUPC	30	3	5.794409124570414	-0.006672048622942485
DUPC	30	4	5.634950657893028	-0.006855166758526557
