PL	cholconc	Nc	a	b
DUPC	0	0	5.05520694880995	-0.0047076409527992795
DUPC	10	0	5.103242510197753	-0.005085225361896779
DUPC	10	1	5.113452890355549	-0.005357476571283622
DUPC	10	2	5.041564491528647	-0.005448578551134591
DUPC	10	3	4.907827350161882	-0.005455112431505342
DUPC	10	4	4.437067046342299	-0.004487121970234406
DUPC	20	0	5.178322649137319	-0.005583578565482702
DUPC	20	1	5.05762798718719	-0.005458969697153187
DUPC	20	2	4.941407135931153	-0.00543671832831186
DUPC	20	3	4.7721369285964395	-0.0053277465725452946
DUPC	20	4	4.656258004918182	-0.005459255238435151
DUPC	30	0	5.085732147513658	-0.0056622716899125715
DUPC	30	1	5.1204771415469	-0.006007772224350378
DUPC	30	2	4.994167558539121	-0.0059418557740447174
DUPC	30	3	4.8786536979153805	-0.006014760149676452
DUPC	30	4	4.631574043409847	-0.005767643081800231
